2025-04-27 14:15:11,192 INFO    MainThread:13000 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-04-27 14:15:11,193 INFO    MainThread:13000 [wandb_setup.py:_flush():68] Configure stats pid to 13000
2025-04-27 14:15:11,193 INFO    MainThread:13000 [wandb_setup.py:_flush():68] Loading settings from C:\Users\ji'yun'ting\.config\wandb\settings
2025-04-27 14:15:11,193 INFO    MainThread:13000 [wandb_setup.py:_flush():68] Loading settings from E:\LSAP-GNN\wandb\settings
2025-04-27 14:15:11,193 INFO    MainThread:13000 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-27 14:15:11,193 INFO    MainThread:13000 [wandb_init.py:setup_run_log_directory():724] Logging user logs to E:\LSAP-GNN\wandb\run-20250427_141511-39ez399q\logs\debug.log
2025-04-27 14:15:11,195 INFO    MainThread:13000 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to E:\LSAP-GNN\wandb\run-20250427_141511-39ez399q\logs\debug-internal.log
2025-04-27 14:15:11,195 INFO    MainThread:13000 [wandb_init.py:init():852] calling init triggers
2025-04-27 14:15:11,195 INFO    MainThread:13000 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'mode': 'generate', 'id': 'exp1', 'n': 4, 'h': 32, 'k': 1, 's': 200, 'fp': './data/val4_4x4.npy', 'train_it': 100000, 'train_file': None, 'val_it': 20000, 'val_file': None, 'test_file': None, 'test_chkpt': None, 'e': 50, '_wandb': {}}
2025-04-27 14:15:11,195 INFO    MainThread:13000 [wandb_init.py:init():893] starting backend
2025-04-27 14:15:11,195 INFO    MainThread:13000 [wandb_init.py:init():897] sending inform_init request
2025-04-27 14:15:11,223 INFO    MainThread:13000 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-27 14:15:11,223 INFO    MainThread:13000 [wandb_init.py:init():907] backend started and connected
2025-04-27 14:15:11,225 INFO    MainThread:13000 [wandb_init.py:init():1002] updated telemetry
2025-04-27 14:15:11,427 INFO    MainThread:13000 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-04-27 14:15:12,345 INFO    MainThread:13000 [wandb_init.py:init():1101] starting run threads in backend
2025-04-27 14:15:12,427 INFO    MainThread:13000 [wandb_run.py:_console_start():2566] atexit reg
2025-04-27 14:15:12,427 INFO    MainThread:13000 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-04-27 14:15:12,428 INFO    MainThread:13000 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-04-27 14:15:12,428 INFO    MainThread:13000 [wandb_run.py:_redirect():2506] Redirects installed.
2025-04-27 14:15:12,430 INFO    MainThread:13000 [wandb_init.py:init():1147] run started, returning control to user process
2025-04-27 14:15:12,719 INFO    MsgRouterThr:13000 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
